SupplierTitle,AmazonTitle,EAN_clean,EAN_OnPage_clean,ASIN,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI,sales,TitleMatch,MatchCategory
Assorted Macaron Modelling Balloon (Pack of 100),"UGEARS V8 Engine 3D Wooden Puzzles for Adults - Wooden Model Kits for Adults to Build DIY Craft, for Engineers, 3D Puzzle Model Engine Kit, 3D Puzzles Adult Hobby Kit, Brain Teaser",8680838567344,4820184122314,B0D9W1S3Y5,3.948,60.8,34.55666666666667,899.9131944444447,100,0.21052631578947367,LOW_CONFIDENCE
Essential Sunflower Bouquet,"Stunning Sunflower Bouquet - Fresh Flowers for Birthdays, Anniversaries, Delivered in Gift Box Vase, Autumn arrangement, Festive Occasion, Seasonal floral, Get well",5056721839172,,B0B666CZRT,0.624,21.98,9.546666666666663,892.2118380062303,300,0.2198952879581152,LOW_CONFIDENCE
Metallic Blue Galaxy Bow On Header,Newcastle Beer Mats x9,5055579130943,,B09C8VQ1NT,0.288,14.36,6.971666666666667,882.4894514767932,50,0.2857142857142857,LOW_CONFIDENCE
Botanica Mango Calla Lily (60cm),"WESEARY Wireless 2.4GHz Gaming Headset for PS5, PS4, Mac, Switch, Mobile, Gaming Headphones with Crystal-Clear ENC Mic, Bluetooth 5.4, Ultra-Low Latency, Stereo Bluetooth Headset for PC",5056721842110,721820110730,B0FPGF1M99,1.452,29.99,15.501666666666663,880.776515151515,200,0.08294930875576037,LOW_CONFIDENCE
Rose Cream 42cm,42cm Artificial Blue & Cream / Ivory Rose Wreath for in or outdoors - Home Grave Wedding,5055579189170,,B0757K2YLF,0.78,19.99,10.54958333333333,879.1319444444442,50,0.1941747572815534,LOW_CONFIDENCE
Double Bubble Solution Bottle 70ml CDU Assorted Colours,"Bramble - Pack 9"" Frisbee Flying Disc Saucers for Kids & Adults Outdoor Fun Play Activity - 3 Assorted Colours, 23cm",5056283828300,,B079FV4K43,0.792,19.99,10.539583333333333,871.0399449035812,50,0.42105263157894735,MODERATE_CONFIDENCE
Clear Bella Glass Vase (13cm),"Dicunoy Set of 2 Glass Flower Vase, 9.5"" Large Flower Vases for Living Room, Decorative Modern Clear Vase for Centerpiece, Heavy Duty Crystal Tall Cylinder Flared Vases for Home, Wedding, 25 x 13cm",5056721884677,,B09WY4W8FR,0.792,19.99,10.539583333333333,871.0399449035812,50,0.168141592920354,LOW_CONFIDENCE
"18"" Baby Girl Little Elephant","Baby Bilingual Musical Elephant Stuffed Animals Toys,Infant Early Learning Toy with Light-Up Music & Crinkle,Tummy Time Toys for 0 3 6 9 12+ Months for Baby Boy Girl Gift,Pink",681070107334,,B0DBLW27T2,1.116,24.99,12.465,842.2297297297297,100,0.17647058823529413,LOW_CONFIDENCE
Tintagel Spray Rose Cream,Mydome Light Switch Timer – Police Approved Retro Fit Timer Switch - A No Wiring Home Security Lighting & Burglar Deterrent,5055977370507,,B00YA95TZI,2.04,32.99,18.70791666666667,831.462962962963,200,0.10810810810810811,LOW_CONFIDENCE
Keeleco Reindeer (25cm),"DEERC 1:14 Brushless RC Car for Adults, 43MPH 4WD Off-Road RC Truck with 7-Color LED Lights, Metal Oil Shocks, 2×7.4V High-Capacity Batteries, All-Metal Drivetrain, 3 Light Modes, 3S LiPo Compatible",5027148039032,,B0DP8JHS49,7.571999999999999,101.07,56.785,827.7696793002915,50,0.07239819004524888,LOW_CONFIDENCE
