ASIN,EAN,EAN_OnPage,NetProfit,ROI,bought_in_past_month,amazon_sales_badge,SupplierTitle
B07KX2JVGL,5053249228600,5053249228600.0,-1.5083333333333326,-60.092961487383775,50.0,50.0,151 SPRAY PAINT TO PLASTIC 400ML BLACK GLOSS
B07MMD35Q5,5056175904686,5056175904686.0,2.6483333333333343,190.52757793765,,,PRISTINE GLEAM POWER THOOTHBRUSH HEADS UNIVERSAL PACK OF 2
B07NBS5KQ4,5060194135082,5060194135082.0,-3.2350000000000003,-96.85628742514972,900.0,900.0,AIRPURE AUTOMATIC REFILL MACHINE EACH
B07NJGBR6W,5055319510707,5055319510707.0,-1.121666666666666,-63.0149812734082,,,PAINT FACTORY FABRIC IVORY 200ML
B07NJGFQV3,5055319519007,5055319519007.0,-1.788333333333333,-100.46816479400748,,,AUTO EXTREME MATT BLK 250ML
B07NJGQFQS,5055319525794,5055319525794.0,-1.3383333333333332,-53.320053120849934,50.0,50.0,RAPIDE ENAMEL PAINT GLOSS WHT 400ML
B07Q35VRPS,5030481800368,5030481800368.0,-0.7916666666666659,-32.98611111111107,100.0,100.0,PAPER STRAW 250 BLACK STRAWS 20CM
B07QFLN7BD,5056239433329,5056239433329.0,-0.9083333333333335,-65.34772182254197,100.0,100.0,WINDOW INSULATION KIT
B07RF7W8YN,5011417572337,5011417572337.0,-8.561666666666667,-95.76808351976138,50.0,50.0,AIRWICK FRESHMATIC REFILL MANGO PK4
B07WK33XRM,5055319529143,5055319529143.0,0.2616666666666664,18.824940047961608,,,STRONG AS AN OX REMOVABLE PICTURE HOOK
B07WK39TC7,5055319529129,5055319529129.0,1.4520833333333332,96.80555555555554,,,STRONG AS AN OX REMOVABLE HOOK CHROME  4PC
B07WMTZGSY,5055319529082,5055319529082.0,0.4358333333333336,31.3549160671463,,,STRONG AS AN OX REMOVABLE HOOK ROUND 4PC
B07XRVR38Y,5020535013042,5020535013042.0,-0.9149999999999996,-60.99999999999998,50.0,50.0,WONDER BALM 50GM ORIGINAL
B0843DFLFG,5032759050345,5032759050345.0,-2.648333333333333,-133.0820770519263,,,AMTECH MASONS PEG 10 INCH(250MM)
B084YQPWBC,5055319528795,5055319528795.0,-1.966666666666666,-110.48689138576776,,,AUTO EXTREME WATERLESS WASH AND WAX 720ML
