RowID,EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,Sales,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI,is_exact_ean_strict,Brand_Match,title_match,Sup_Qty,Amz_Total,RSU,Pack_Mode,Pack_Verdict,Adjusted_Profit,Final_Category,Confidence,Filter_Reason,Key_Evidence
31,5050565712875.0,,B0D62LX8W5,SNOW WHITE CHRISTMAS RIBBON  SILVER,OLEVS Watches for Men Stainless Steel Analog Quartz Waterproof Luminous Luxury Dress Date Diamond Business Casual Mens Wrist Watchï¼ˆGold/Blue/Black/White Dialï¼‰,100,0.876,45.77,28.7304166666666,22.4456380208333,False,False,0.14213197969543148,1,1,1,1:1,1:1 Match,28.7304166666666,UNCERTAIN,0,-,Shared: white
32,5050565512352.0,,B0D62LX8W5,LOVE SCENTED WAX MELTS,OLEVS Watches for Men Stainless Steel Analog Quartz Waterproof Luminous Luxury Dress Date Diamond Business Casual Mens Wrist Watchï¼ˆGold/Blue/Black/White Dialï¼‰,100,0.804,45.77,27.2816666666666,22.362021857923402,False,False,0.13043478260869565,1,1,1,1:1,1:1 Match,27.2816666666666,UNCERTAIN,0,-,Title analysis
33,5056239432094.0,,B0FPXDNJ1T,SPRAY ADHESIVE HEAVY DUTY 500ML,LEGO | Marvel Iron Man Mark 3 Collectors' Edition Figure - Avengers Display Model Kit for Adults - incl. a Minifigure & Arc Reactor - Collectible Gift for Fans - 76344,200,3.36,119.97,74.475,22.231343283582,False,False,0.16161616161616163,1,1,1,1:1,1:1 Match,74.475,UNCERTAIN,0,-,Title analysis
34,5038673190075.0,8700216280167.0,B0CM3SM41B,PRIMA DINNER PLATE FLOWER DESIGN 26.5CM,"Gillette Intimate Trimmer i5 - Pubic Hair & Body Groomer for Men, SkinFirst Waterproof Manscaping Trimmer, Cordless Wet/Dry Body Hair Shaver for Private Parts & Sensitive Areas",300,1.704,70.19,42.8916666666666,21.7724196277495,False,False,0.13953488372093023,1,1,1,1:1,1:1 Match,42.8916666666666,UNCERTAIN,0,-,Title analysis
35,11179373161.0,,B0FP2P7WNL,UNIQUE CANDLE NUMBER W/DECOR 6,"Lehoo Castle Dino Construction Truck Sit and Spin Toys for Toddlers 1-3 Boys, 360Â° Toddler Spinning Seat with Lights and Music, Sensory Toys Christmas Birthday Gift for Kids Age 2 3 4 5",300,0.708,45.99,24.655,21.627192982456098,False,False,0.18518518518518517,1,1,1,1:1,1:1 Match,24.655,UNCERTAIN,0,-,Title analysis
36,5050796011778.0,,B0C7FJY9SL,BRIGHT & HOMELY STAINLESS STEEL SCOURER 4 PIECES,"Pristar Remote Control Car Hand Gesture Controlled Car, 1:14 RC Stunt Auto 360Â° Rotation 3 Control Methods 2.4 GHz Drift Glove Controlled Cars Gift Toy for Kids Boy Girls Age 5 6 7 8 9 10 11 12",400,0.744,42.99,24.965,21.3376068376068,False,False,0.21487603305785125,4,1,1,split,SPLIT - VERIFY,24.965,UNCERTAIN,0,-,Title analysis
37,5019923202892.0,,B0CQP7TT72,SECURPAK POZI COUNTERSUNK SCREWS ZP 5X60MM,"Premium Baby Toys for 6-18 Months, 8 in 1 Montessori Toys Set, Educational Learning Toys for Toddlers 1-3 Years Old Trendy Babies Gifts for Boys & Girls",50,0.792,39.99,24.70625,20.418388429752,False,False,0.1958762886597938,1,1,1,1:1,1:1 Match,24.70625,UNCERTAIN,0,-,Title analysis
38,5055441463407.0,609613846212.0,B00YA95TZI,DEKTON MASONRY DRILL BIT 5MM X 85MM,Mydome Light Switch Timer â€“ Police Approved Retro Fit Timer Switch - A No Wiring Home Security Lighting & Burglar Deterrent,200,0.48,32.99,19.2516666666666,20.2649122807017,False,False,0.2,1,1,1,1:1,1:1 Match,19.2516666666666,UNCERTAIN,0,-,Title analysis
39,11179859771.0,,B0CQP7TT72,HAPPY 6TH BIRTHDAY BANNER BLUE 9FT,"Premium Baby Toys for 6-18 Months, 8 in 1 Montessori Toys Set, Educational Learning Toys for Toddlers 1-3 Years Old Trendy Babies Gifts for Boys & Girls",50,0.804,39.99,24.69625,20.2428278688524,False,False,0.22580645161290322,1,1,1,1:1,1:1 Match,24.69625,UNCERTAIN,0,-,Title analysis
40,5052578022309.0,,B0BPLGMW1B,BETTINA SPONGE CELLULOSE 3 SCOURER,OLEVS Mens Watches Designer Calendar Dress Metal Stainless Steel Quartz Analog Waterproof Luminous Wrist Watch Gent Large,100,0.852,42.77,25.1916666666666,19.9933862433862,False,False,0.18064516129032257,1,1,1,1:1,1:1 Match,25.1916666666666,UNCERTAIN,0,-,Title analysis
