EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,HMRC,NetProfit,ROI,Breakeven,ProfitMargin,EAN_match
5.01085E+12,5.01127E+12,B0C9MMVLW7,PRICE & KENSINGTON MILAN CONICAL MUG,"Cole & Mason 605 Salt and Pepper Mill Set, Precision+/Ceramic Mechanisms, Adjustable Salt and Pepper Grinders, Acrylic, 144mm, Cooking/Seasoning, Lifetime Mechanism Guarantee",https://www.efghousewares.co.uk/price-kensington-milan-conical-mug-110064,https://www.amazon.co.uk/dp/B0C9MMVLW7,100,Available (see Keepa data),,1,1.812,1.51,24.99,3.75,3.13,0.55,4.165,1.788,-1.788,11.885,576.9417476,10.728,57.07082833,0
5.01593E+12,,B0D92228S7,BLOCK TECH CARS ASSORTED,"Sosuy Building-Block Race-Car Set, 1:18 Technical Model Kit 513 Pcs DIY Pull-Back Cyberpunk Toy for Boy Girl Kid Age 6+ Year, Birthday Gift for Teen Adult Display, Speed Super Sports Cars Bricks Icons",https://www.efghousewares.co.uk/block-tech-cars-assorted-124122,https://www.amazon.co.uk/dp/B0D92228S7,300,,,,0.924,0.77,21.99,2.74875,2.41,0.55,3.665,1.29575,-1.29575,11.84625,897.4431818,7.7745,64.64529332,0
5.03867E+12,5.05551E+12,B071Z6DWSL,PRIMA SALAD BOWL FLOWER DESIGN 15CM,Argon Tableware 12x Classic White 18cm Cereal Bowls - Porcelain Ice Cream Ramen Oatmeal Dishes - Microwave and Dishwasher Safe,https://www.efghousewares.co.uk/prima-salad-bowl-flower-design-15cm-112291,https://www.amazon.co.uk/dp/B071Z6DWSL,100,,Available (see Keepa data),1,0.972,0.81,21.99,2.74875,2.41,0.55,3.665,1.30375,-1.30375,11.80625,868.1066176,7.8225,64.42701228,0
5.02013E+12,,B06WGN5X92,DRIZZIES SUPERMINI WOODEN HANDLE UMBRELLA,Royal Walk Windproof Umbrella Black Large 54 Inch Automatic Open for 2 Persons Stormproof for Men Women Classic Wooden Handle Lightweight Waterproof Durable Strong 16 Ribs Travel Golf Unisex 120cm,https://www.efghousewares.co.uk/drizzies-supermini-wooden-handle-umbrella,https://www.amazon.co.uk/dp/B06WGN5X92,400,Available (see Keepa data),,4,3.9456,3.288,29.94,4.49,4.91,0.55,4.99,2.6476,-2.6476,11.712,305.1589369,15.8856,46.94188377,0
5.05624E+12,8.05902E+12,B0BLHPPBYN,DISHWASHER FRESHENER LEMON 2PK,Care+Protect 3 in 1 Washing Machine - Dishwasher Cleaner - Limescale Remover - Degreaser - Hygienic Cleaner - Universal - 24 Months Supply - Maxi Pack,https://www.efghousewares.co.uk/dishwasher-freshener-lemon-2pk,https://www.amazon.co.uk/dp/B0BLHPPBYN,300,Available (see Keepa data),Available (see Keepa data),3,1.2096,1.008,23.59,3.06,3.36,0.55,3.931666667,1.5956,-1.5956,11.68033333,749.7004707,9.5736,59.41670199,0
5.05384E+12,,B0D7CKD7P6,PREMIER HIGHLAND COW SITTING BOY GIRL 53CM,"OUOZZZ Highland Cow Teddy – 14.5"" Mother with 4 Baby Plushies Inside – Soft Plush Highland Cow Gifts for Boys & Girls, Birthday, Christmas & Easter Present",https://www.efghousewares.co.uk/premier-highland-cow-sitting-boy-girl-53cm-123182,https://www.amazon.co.uk/dp/B0D7CKD7P6,700,,,,10.488,8.74,32.99,4.12375,2.41,0.55,5.498333333,3.16475,-3.16475,11.66791667,125.5965196,18.9885,42.44164898,0
5.03048E+12,7.4196E+11,B08XX11X5N,GLEAMAX BROOM AND HANDLE SILVER,"304 Ink Cartridge Remanufactured for HP 304 Black Ink Cartridge, 304XL Black for Envy 5020 5010 5030 5032 5000, DeskJet 3720 2600 2633 2632, 3733 2634 3760, 3750 3735 3762, 2630 2620 2622 (2-Pack)",https://www.efghousewares.co.uk/gleamax-broom-and-handle-silver,https://www.amazon.co.uk/dp/B08XX11X5N,100,Available (see Keepa data),,1,1.5,1.25,23.73,3.56,2.77,0.55,3.955,1.626,-1.626,11.645,646.9444444,9.756,58.8874842,0
5.059E+12,,B0BK16S2Z2,AIRWICK CANDLE GIFT BOX 220G SET OF  3,"33,000ft Womens Hiking Pants Waterproof Walking Trousers Thermal Fleece Lined Ladies Winter Outdoor Windproof Warm Softshell Hiking Fishing Ski Snow Pants",https://www.efghousewares.co.uk/airwick-candle-gift-box-220g-set-of-3-108929,https://www.amazon.co.uk/dp/B0BK16S2Z2,100,Available (see Keepa data),,1,9.396,7.83,33.99,5.1,3.21,0.55,5.665,3.338,-3.338,11.635,138.8424821,20.028,41.07678729,0
5.0508E+12,,B0006UF6BC,BRIGHT & HOMELY BYPASS LOPPER,Spear & Jackson 8090RS Razorsharp Telescopic Ratchet Bypass Lopper,https://www.efghousewares.co.uk/bright-homely-bypass-lopper-113748,https://www.amazon.co.uk/dp/B0006UF6BC,300,,Available (see Keepa data),7,2.424,2.02,27.95,4.19,4.91,0.55,4.658333333,2.334,-2.334,11.62166667,452.2049287,14.004,49.89624329,0
5.06035E+12,,B09BJL2Z46,RYSON COLANDER SML LRG,"OIVO 4 x 4880mWh Xbox Controller Battery Pack for XBX One/X-box Series X|S, Rechargeable Batteries Xbox Controller, XBX Series Battery with Charger Station",https://www.efghousewares.co.uk/ryson-colander-sml-lrg-109711,https://www.amazon.co.uk/dp/B09BJL2Z46,500,,,,1.2096,1.008,21.99,2.74875,2.41,0.55,3.665,1.34335,-1.34335,11.60825,745.0738126,8.0601,63.34652115,0
5.05384E+12,5.03733E+12,B09P58TDMW,PREMIER CANDLEBRIDGE WITH 33 LIGHTS SILVER,"Safety First Aid Group Workplace First Aid Kit (Small 1-10 Persons) Economy HSE-Compliant with Inspection Tags, Wall Bracket, Extra Plasters",https://www.efghousewares.co.uk/premier-candlebridge-with-33-lights-silver-102179,https://www.amazon.co.uk/dp/B09P58TDMW,400,Available (see Keepa data),,2,10.68,8.9,32,2.54,3.14,0.55,5.333333333,3.026,-3.026,11.53666667,122.0811287,18.156,43.2625,0
5.05384E+12,5.03733E+12,B09P58TDMW,PREMIER CANDLEBRIDGE GOLD/ROSE GOLD,"Safety First Aid Group Workplace First Aid Kit (Small 1-10 Persons) Economy HSE-Compliant with Inspection Tags, Wall Bracket, Extra Plasters",https://www.efghousewares.co.uk/premier-candlebridge-gold/rose-gold-91699,https://www.amazon.co.uk/dp/B09P58TDMW,400,Available (see Keepa data),,2,10.68,8.9,32,2.54,3.14,0.55,5.333333333,3.026,-3.026,11.53666667,122.0811287,18.156,43.2625,0
