RowID,Verdict,Confidence,SupplierTitle,AmazonTitle,Supplier EAN,Amazon EAN,ASIN,SupplierPrice,SellingPrice,NetProfit,ROI,Sales,Pack Verdict,Adjusted Profit,Key Match Evidence,Filter Reason,IsUnrelated
22,UNRELATED,15,PANASONIC UPRIGHT   SDB113,"ElecKeys Cordless Vacuum Cleaner,65 Mins 580W 48KPa 1.8L Vacuum Cleaners for Home,Self-Standing Anti-Tangle Vacuum,Handheld Vacuum Cleaner Rechargeable Wall-Mounted for Carpets Floors Pet Hair",5030017011138,nan,B0FB36DTHD,2.616,144.99,90.505,0,300,1:1,90.5,,Low Text Similarity,True
23,UNRELATED,15,TOM SMITH CHRISTMAS CARDS LUXURY SLIM FOLIAGE TEXT,Nilfisk Core 130 Bar High Pressure Washer with Power Control - Mini Power Washer for Patios and Car Cleaner (1500 W),5012213580601,nan,B08KYJWQPV,2.016,104.67,69.50125,0,50,1:1,69.5,,Insufficient Evidence,True
24,UNRELATED,15,PARTY CRAZY BALLOONS ASSORTED 20,"KODAK 10.1 Inch WiFi Digital Picture Frame with 32GB Storage, Electronic Smart Digital Photo Frame 1280x800 IPS Touch Screen, Auto-Rotate, Share Moments Instantly Gifts for Women Mothers Day Christmas",5013922057019,nan,B0DB7DGKFK,0.852,60.34,39.0708333333333,0,100,1:1,39.07,,Insufficient Evidence,True
25,UNRELATED,20,PRIMA PET BALL LAUNCHER 50CM,"Pet Prime Automatic Ball Launcher for Large Dog, Rechargeable Cordless Interactive Ball Thrower Toy with Random Distance, Fetch Machine with 6 Durable 2.5"" E-TPU Balls & Dog Whistle",5038673411309,nan,B0FM3GQ9VQ,1.344,86.69,50.4016666666666,0,50,1:1,50.4,,Insufficient Evidence,True
26,UNRELATED,15,PAPER EASTER 10 PLATES 7 INCH,"Mould King V8 Engine Building Blocks Sets, 10171 MOC Scale Model Kit with Battery and Motor, Collectible Set for Adults, Construction Toys for Teens(487 Pcs)",5050565569936,nan,B0DL47ZJR2,0.744,50.99,32.5379166666666,0,100,1:1,32.54,,Insufficient Evidence,True
27,UNRELATED,15,AIRWICK CANDLE VANILLA & BROWN SUGAR 105G PK6,Lenovo Idea Tab Pro Android Tablet | 12.7 inch Full HD Display | MediaTek Dimensity 8300 | 128GB | Wi-Fi 6 | 8GB RAM | Luna Grey + Pen,5900627061383,198153749706,B0DRPCJDWW,10.7399999999999,354.99,258.235,0,300,1:1,258.24,,Insufficient Evidence,True
28,UNRELATED,15,PROKLEEN CHENILLE FLOOR MOP & EXTENDABLE HANDLE,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",5055706641182,717710483480,B0FGHZB8FM,3.024,129.0,81.64,0,50,1:1,81.64,,Insufficient Evidence,True
29,UNRELATED,15,DLUX WASHING BAG,"Tevlaphee Steering Wheel Lock, Steering Lock, Car Anti-Theft Device, Adjustable, Universal Fit, Heavy Duty Secure, 3 Keys, Emergency Hammer Window Breaker(Black)",5060082728884,653391672419,B0734R66B4,0.852,48.81,33.315,0,100,1:1,33.31,,Low Text Similarity,True
30,UNRELATED,15,CAPPUCCINO CUP,"Tevlaphee Steering Wheel Lock with Alarm, 120dB, Wheel Spoke Width â‰¤2.75in, Battery Required, Crook Locks for Cars, Car Lock Anti-Theft Device, Heavy Duty",6923456804005,nan,B09WDKDVZC,0.936,57.64,35.0733333333333,0,100,1:1,35.07,,Low Text Similarity,True
31,UNRELATED,15,SQUARE CANISTER CLASSIC 1.6L SURT VRM,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",8414926510185,nan,B0DN6BWS36,2.508,99.99,65.77625,0,50,1:1,65.78,,Insufficient Evidence,True
32,UNRELATED,15,DUNLOP BIKE BRAKE CABLE INNER CABLE,"Peradix Wooden Chess Set, 19"" Large Foldable Chess Board Game with 3.75"" King & 2 Extra Queens, Professional Classic Chess Set for Adults and Kids",8711252476247,nan,B0FHK2CM5W,0.708,49.99,27.8683333333333,0,100,1:1,27.87,,Insufficient Evidence,True
33,UNRELATED,15,CHRISTMAS TAG BAUBLE WOODEN MINI 4PK,Belaco Oil Filled Radiators 11 Fins Portable Electric Heater Adjustable Thermostat Control 3 Heat Settings Portable Heater Overheat Protection 2500W Energy Efficient Heavy-Duty Castor,5056170340700,5060598911466,B09MZDW551,0.744,52.86,28.39,0,200,1:1,28.39,,Insufficient Evidence,True
34,UNRELATED,15,CHRISTMAS VELVET COLOURING SET 2PC,"KableRika LED Desk Lamp for Office, Double Head Desk Lamp with Base, Dimmable Architect Desk Light, Eye Caring Monitor Light Bar with Timer, Task Lamp for Work Study Read Home Office Lighting",5056170355988,nan,B0D25HS86F,0.6,39.99,24.86625,0,200,1:1,24.87,,Insufficient Evidence,True
35,UNRELATED,15,PLATE 10.5 INCH ASSORTED,EVER ADVANCED Luxury Camping Chairs for Adults Heavy Duty Loadable 150kg High Back Oversized Folding Garden Chair Padded 6cm Comfy with Cup Holder Side Pocket Dining Chairs 4-Position Recliner,6923456812901,198715902921,B0DK877SSC,0.672,49.99,26.1283333333333,0,50,1:1,26.13,,Low Text Similarity,True
