SupplierTitle,AmazonTitle,ASIN,EAN_fixed,match_method,Tier,confidence_level,bought_in_past_month,amazon_sales_badge,NetProfit,ROI,SupplierPrice_exVAT,SellingPrice_incVAT,Bucket,Unit_Qty_Flag,Unit_Qty_Note,SupplierURL,AmazonURL,fba_seller_count,total_offer_count
PRIMA PIZZA CUTTER SS,"Pizza Cutter, Pizza Wheel with Stainless Steel Blade for Cutting Through Crusts, Pies and More, Black",B0CX8Y49CR,5038670000000,title,T2_TITLE_MATCH,medium,1000,,-1.268333333,-48.04292929,2.09,4.49,C,MATCH,,https://www.efghousewares.co.uk/prima-pizza-cutter-ss-112388,https://www.amazon.co.uk/dp/B0CX8Y49CR,Available (see Keepa data),1
RUSTINS MDF SEALER 250ML,Rustins Quick Dry MDF Sealer - Professional Sealant for Rapid Results 250ml,B001GU6GP6,5015330000000,EAN,T1_EAN_EXACT,high,100,100,-1.273333333,-38.00995025,2.8,6.8,C,MATCH,,https://www.efghousewares.co.uk/rustins-mdf-sealer-250ml,https://www.amazon.co.uk/dp/B001GU6GP6,,21
Cat Bowls 2pk - Trend 17cm,Cat Bowls - 2 Pack Assorted colors,B096T1TLC3,5056170000000,EAN,T1_EAN_EXACT,high,700,600,-1.275,-95.86466165,0.78,3.99,C,UNCLEAR,,https://www.efghousewares.co.uk/cat-bowls-2pk-trend-17cm-108271,https://www.amazon.co.uk/dp/B096T1TLC3,Available (see Keepa data),7
BEAUFORT FOOD CARRY BOX & HANDLE 10LTR,Beaufort 7 Litre Square Cake Box Container with Lid,B00262U1CW,5014350000000,title,T2_TITLE_MATCH,medium,500,500,-1.28125,-46.42210145,2.21,5.49,C,MATCH,,https://www.efghousewares.co.uk/beaufort-carry-box-handle-10ltr,https://www.amazon.co.uk/dp/B00262U1CW,,
ETERNAL ROMANCE EDT 100ML POUR FEMME EACH,Eternal Romance Ladies perfume Eau De Parfum 100ml 100ml EDP Spray,B008HSKWXW,5055170000000,report_reconstruction,T2_TITLE_MATCH,high,100,100,-1.281333333,-47.49196936,2.148,5.54,C,MATCH,,https://www.efghousewares.co.uk/eternal-romance-edt-100ml-pour-femme-each-110053,https://www.amazon.co.uk/dp/B008HSKWXW,Available (see Keepa data),6
KINGAVON 3 PORT USB HUB,"AXFEE 3 Port USB 3.0 Hub, Mini USB Hub with Multiple USB Ports 1 USB 3.0 + 2 USB 2.0, USB Splitter Extension Adapter, Data Hub for Laptop MacBook Desktop PC Compatible with Flash Drive Keyboard",B0CJ2KVMQ4,5017400000000,title,T2_TITLE_MATCH,medium,400,400,-1.285,-50.39215686,2,3.99,C,MATCH,,https://www.efghousewares.co.uk/kingavon-3-port-usb-hub-109613,https://www.amazon.co.uk/dp/B0CJ2KVMQ4,Available (see Keepa data),1
SIL CRAFT STICKER GEM 27.7x10.5cm,"3300 Gem Stickers, Self Adhesive Gem Sticker Bling Jewels, 12 Sheets Various Shapes Multicoloured Crystal Gemstone, for DIY Craft Nail Body Makeup Festival",B0FN43GZ7N,5024420000000,report_reconstruction,T2_TITLE_MATCH,high,200,200,-1.285416667,-92.47601918,0.84,3.55,C,MATCH,,https://www.efghousewares.co.uk/sil-craft-sticker-gem-27-7x10-5cm-4-7,https://www.amazon.co.uk/dp/B0FN43GZ7N,,
PRIMA GARLIC PRESSER,"Jsdoin Professional Kitchen Garlic Press/Mincer/Crusher UK, Peeler Squeezer Heavy Duty Garlic Presser,User-Friendly Chopper, Easy to Clean and Durable",B07DNBX1C4,5038670000000,title,T2_TITLE_MATCH,medium,2000,,-1.288333333,-35.29680365,3.1,5.99,C,MATCH,,https://www.efghousewares.co.uk/baylis-mulberry-2pce-gift-set,https://www.amazon.co.uk/dp/B07DNBX1C4,Available (see Keepa data),1
WALL CLOCK 4 ASSORTED COLOURS 300x45MM,Acctim Elstow 22845 Wall Clock in Meadow Green,B08WCFN71S,8721040000000,title,T2_TITLE_MATCH,medium,800,800,-1.29,-26.93110647,4.24,9,C,MATCH,,https://www.efghousewares.co.uk/wall-clock-4-assorted-colours-300x45mm-124272,https://www.amazon.co.uk/dp/B08WCFN71S,,4
MOMENTS STANDING PLAQUE - GRANDAD,Grandad Acrylic Plaque Grandad Gifts from Grandchildren Grandad Birthday Gifts from Grandson Christmas Fathers day Birthday Gifts for Grandad Presents for Grandad from Granddaughter,B0C3B91H66,5017220000000,title,T2_TITLE_MATCH,medium,100,100,-1.291666667,-25.73041169,4.47,7.99,C,MATCH,,https://www.efghousewares.co.uk/moments-standing-plaque-grandad-114759,https://www.amazon.co.uk/dp/B0C3B91H66,Available (see Keepa data),1
ART BOX MODELLING CLAY 12,THE ART BOXARTBOX Medium Modelling Clay (Strip of 12) (Package may vary),B00BGERNOU,5013920000000,report_reconstruction,T2_TITLE_MATCH,high,100,100,-1.295333333,-92.39182121,0.852,2.84,C,MATCH,,https://www.efghousewares.co.uk/art-box-modelling-clay-12-6-12,https://www.amazon.co.uk/dp/B00BGERNOU,Available (see Keepa data),17
MASTERPLUG 6 GANG 2MTR EXTENSION LEAD,"Masterplug Six Socket Extension Lead, 2 Metre Cable, Unswitched, 6-Way Plug Extension Cable, Power Strip, Basic Power, Black, 13A, 6G, 2m, BSG210NB",B07X6RMT89,5015060000000,EAN,T1_EAN_EXACT,high,300,300,-1.298333333,-29.04548844,3.92,8.99,C,MATCH,,https://www.efghousewares.co.uk/masterplug-6-gang-2mtr-extension-lead,https://www.amazon.co.uk/dp/B07X6RMT89,,14
CHEF NON-STICK SPRING CAKE 23CM 22/03/24,"Chef Aid Non-Stick Spring Form Cake Tin, Round Cake pan with Loose Base for Easy Release, handwash, Fridge and Freezer Safe, 24.6cm x 6.8cm",B00SHJNZ9E,5012900000000,EAN,T1_EAN_EXACT,high,800,800,-1.300416667,-28.58058608,4,7.99,C,MATCH,,https://www.efghousewares.co.uk/chef-n-s-spring-cake-23cm,https://www.amazon.co.uk/dp/B00SHJNZ9E,,
