RowID,ASIN,SupplierEAN,AmazonEAN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI,bought_in_past_month
1336,B082Q34WLQ,5038135559808,,BAKER & SALT LOOSE CASE CAKE TIN 23CM,Baker & Salt Loose Based Round Cake Tin Deep - 09inch,https://www.efghousewares.co.uk/baker-salt-loose-case-cake-tin-23cm-80333,https://www.amazon.co.uk/dp/B082Q34WLQ,5.304,10.99,0.404583333333332,8.14050972501675,50
1341,B004GY24EQ,5032759049905,,AMTECH BOX SPANNER /TOMMY BAR,Amtech K1150 6 Piece Tubular Box Spanner Set with Tommy bar,https://www.efghousewares.co.uk/amtech-box-spanner-tommy-bar,https://www.amazon.co.uk/dp/B004GY24EQ,2.73599999999999,7.69,0.207083333333334,7.31743227326269,50
1347,B0FG23ZTX7,,5060999035297,EXTRASTAR EXTENSION LEAD 2 GANG 2M WHITE,"EXTRASTAR 2 Gang Extension Lead, 2 Metre Extension Cable, Double Plug Socket 13A Fused Power Strip White",https://www.efghousewares.co.uk/extrastar-extension-lead-2-gang-2m-white-107140,https://www.amazon.co.uk/dp/B0FG23ZTX7,3.588,9.49,0.248333333333333,7.015065913371,50
1357,B0815B7FBY,5056287402902,,HARRIS PUTTY KNIFE,Harris Seriously Good Putty Knife,https://www.efghousewares.co.uk/harris-putty-knife-79685,https://www.amazon.co.uk/dp/B0815B7FBY,2.22,6.98,0.134166666666667,5.5902777777778,50
1367,B008F6946C,5060187175750,5060187175750,BLUE CANYON VECTOR SHOWER SPRAY,Blue Canyon Vector Double Tap Shower Spray| Bathroom Accessory| Premium Shower Attachment for Bath taps| Push-on-Fitting| Suitable for Round & Oval Taps| Shower Head for Bathroom| ~1.5 Meters| (White),https://www.efghousewares.co.uk/blue-canyon-vector-shower-spray,https://www.amazon.co.uk/dp/B008F6946C,4.296,9.85,0.198333333333333,4.80225988700564,500
1383,B00W3RVAG6,5010853203508,5010853203508,MASON CASH CERAMIC RECT DISH 16cm,"Mason Cash 2001.542 Collection Fine Stoneware Square Roasting Baking and Serving Dish, Ceramic, White, 16 x 16 x 4.5 cm",https://www.efghousewares.co.uk/mason-cash-ceramic-rect-dish-16cm,https://www.amazon.co.uk/dp/B00W3RVAG6,3.65999999999999,9.11,0.101666666666666,2.82407407407407,50
1384,B0BYKDX25N,5010303194387,5010303180588,FAIRY MAX POWER SOAP DISPENSING DISH BRUSH,Fairy Soap Dispensing Dish Brush,https://www.efghousewares.co.uk/fairy-max-power-soap-dispensing-dish-brush-120964,https://www.amazon.co.uk/dp/B0BYKDX25N,1.728,6.57,0.0550000000000003,2.7638190954774,50
1388,B01LCYXS24,3426470268684,,PYREX ESSENTIALS CASSEROLE OVAL 4.1LTR,"Pyrex Essentials Glass oval Casserole high resistance, 3 L",https://www.efghousewares.co.uk/pyrex-essentials-casserole-oval-3ltr-pm-,https://www.amazon.co.uk/dp/B01LCYXS24,10.5479999999999,16.89,0.213750000000001,2.28854389721629,100
1393,B09NCVWKD6,5011417788776,5011417584200,DETTOL POWER & PURE KITCHEN 750ML PK6,"Dettol Power and Pure Kitchen Cleaner Spray 1 Litre, Pack of 4",https://www.efghousewares.co.uk/dettol-power-pure-kitchen-750ml-pk6-120409,https://www.amazon.co.uk/dp/B09NCVWKD6,11.4119999999999,18.98,0.186666666666668,1.85553346587145,50
1395,B07YPPK4JY,5022704000013,5022704000013,FIRE UP NATURAL FIRELIGHTERS 28 PACK,"Fireglow Firelighters 24 Pack, White",https://www.efghousewares.co.uk/fireglow-firelighter-24-cubes,https://www.amazon.co.uk/dp/B07YPPK4JY,0.912,4.49,0.0216666666666669,1.65394402035625,100
1396,B00M36YPIM,5012904148738,5012904148738,CHEF AID SHOT GLASSES ASSORTED 20PCE,"Chef Aid Multi-Coloured Plastic Shot Glasses, Pack of 20 Reusable 30ml Party Cups, Bright, Colourful Drinking Glasses for Shots, Cocktails and Celebrations",https://www.efghousewares.co.uk/chef-aid-shot-glasses-assorted-20pce-117162,https://www.amazon.co.uk/dp/B00M36YPIM,1.752,6.9,0.0300000000000009,1.49253731343288,600
