,SupplierTitle,AmazonTitle,EAN,EAN_OnPage,NetProfit,ROI %,bought_in_past_month
727,QUEST EXPRESSO COFFEE EXPRESSO MACHINE WITH MILK FROTHER,Quest 36569 Espresso Coffee Machine With Milk Frother / 1.2L Water Tank and Drip Tray/Steam Ready and Temperature Indicator/For Ground Coffee Beans / 15 Bars of Pressure,5025301365790,,33.6262499999999,248.347488921713,500
207,WENKEN FOOD PROCESSOR & BLENDER 2 IN 1,"Kenwood FDP65.180SI 2 in 1 Food Processor Multipro Express, Silver",8699303352828,5011423004662.0,33.4383333333333,681.025118805159,300
28,DLUX WASHING BAG,"Tevlaphee Steering Wheel Lock, Steering Lock, Car Anti-Theft Device, Adjustable, Universal Fit, Heavy Duty Secure, 3 Keys, Emergency Hammer Window Breaker(Black)",5060082728884,653391672419.0,33.315,2644.04761904761,100
656,AIRPURE & FRESH TRIGGER SPRAY CITRUS ZING 250ML PK12,OLEVS Mens Wooden Watch Analog Quartz Stainless Steel Wirst Watches Luxury Dress Chronograph Waterproof Luminous Watches for Men Gift,5060194132869,,32.6266666666666,277.910278250993,50
25,PAPER EASTER 10 PLATES 7 INCH,"Mould King V8 Engine Building Blocks Sets, 10171 MOC Scale Model Kit with Battery and Motor, Collectible Set for Adults, Construction Toys for Teens(487 Pcs)",5050565569936,,32.5379166666666,2781.01851851851,100
54,PAINT FACTORY COLOUR IT SPRAY FLAT MATT WHITE 250ML,"Remote Control Car Building Set, 1:14 Technical Sports Racing Car Building Kit, with Motors and Rechargeable Battery, Toys Gift for Adults & Boys Age 12+ (1314 PCS)",5055319528559,,32.335,1816.57303370786,200
61,MULTI MIXER 22CM ASSORTED,"Progress EK5234PTEAL Go Bake Stand Mixer- Large Electric Whisk with 4L Stainless Steel Bowl, 8 Speeds and Pulse Function, Mixing Beater, Dough Hook, and Whisk Attachments, Splash Guard, 1300W, Teal",5414886342003,5054061498677.0,32.2366666666666,1678.99305555555,100
203,AMTECH RECHARGEABLE WORK LIGHT WITH MAGNETIC STAND 3W,"T-SUN Rechargeable LED Work Light with Metal Stand,4100Lumen Portable Magnetic Camping Light,10400Ah Battery,Job Site Lighting for Outdoor Barbecue Golf Fishing Indoor Workshop Garage",5032759051380,,32.0216666666666,684.223646723646,100
290,PRO COOK ULTIMATE CARBON STEEL WOK 34CM,"YOSUKATA Carbon Steel Woks and Stir Fry Pans 34 cm - Traditional Chinese Japanese Wok with Flat Bottom - Compatible with Induction, Electric, Ceramic, Gas cooktops, and Open Flame, BBQ, Grill",5055490624705,,31.2816666666666,538.410786001147,300
233,THE PET STORE FUNKY BIRD TRIO,"Smart Bird Feeder with Camera, Premium Bamboo Camera Bird Feeder, 2K HD Came Solar Powered, AI Auto Identify 16000+ Bird's Species, Bird Watching Camera for Bird Lovers",5034537034851,,31.2183333333333,628.13547954393,100
250,DEKTON HANDLE MANHOLE KEY 2PC SET,"ROUGHNECKÂ® Universal Manhole Key Set, 13 Pieces: 2 Handles, 11 Keys (6 Types) and Carry Case",5055441458601,5057902120010.0,30.8933333333333,596.396396396396,100
49,ABBEY HAND SPRAY 750ML,"Mould King V8 Engine Building Blocks Sets, 10171 MOC Scale Model Kit with Battery and Motor, Collectible Set for Adults, Construction Toys for Teens(487 Pcs)",5013174024821,705736243089.0,30.1616666666666,1908.96624472573,100
188,EVERBUILD SEALANT STRIPOUT TOOL,Everbuild Super Flow Sealant/Adhesive Cartridge Applicator Gun with Rotating Barrel â€“ Soft Grip Handle â€“ For Cartridges Up to 310 ml,5029347603557,,28.78875,725.157430730478,400
36,SNOW WHITE CHRISTMAS RIBBON  SILVER,OLEVS Watches for Men Stainless Steel Analog Quartz Waterproof Luminous Luxury Dress Date Diamond Business Casual Mens Wrist Watchï¼ˆGold/Blue/Black/White Dialï¼‰,5050565712875,,28.7304166666666,2244.56380208333,100
32,CHRISTMAS TAG BAUBLE WOODEN MINI 4PK,Belaco Oil Filled Radiators 11 Fins Portable Electric Heater Adjustable Thermostat Control 3 Heat Settings Portable Heater Overheat Protection 2500W Energy Efficient Heavy-Duty Castor,5056170340700,5060598911466.0,28.39,2426.49572649572,200
72,RODO WIRE BRUSH WITH SCRAPER 4 ROW,Work Boots Mens Womens Comfortable Steel Toe Cap Boots Lightweight Work Shoes Protective Puncture Proof Safety Footwear Industrial Safety Trainers with Swivel Buckle Shoelaces,5019200246458,,28.105,1494.94680851063,100
58,"IMPERIAL SOUP PLATE BLUE 8""","Denby - Imperial Blue Dinner Plates Set of 2 - Dishwasher Microwave Safe Crockery 26.5cm - Blue, White Ceramic Stoneware Tableware - Chip & Crack Resistant Large Plates",8694169938483,,27.9879166666666,1706.58028455284,50
92,APOLLO WOODEN UTENSIL SET ASSTD,"Wooden Utensil Set - 10 Pcs Teak Wooden Spoon Kitchen Utensils Set for Nonstick Pans & Cookware. Non-Scratch, Heat Resistant, Comfortable Grip. Includes Cooking Spatula",5026180016858,,27.94625,1258.84009009009,400
31,DUNLOP BIKE BRAKE CABLE INNER CABLE,"Peradix Wooden Chess Set, 19"" Large Foldable Chess Board Game with 3.75"" King & 2 Extra Queens, Professional Classic Chess Set for Adults and Kids",8711252476247,,27.8683333333333,2444.59064327485,100
104,ROCKINGHAM FORGE SCISSORS 8INCH RED  (SP12),"Xpert - Defiant S3 Safety Dealer Boots. Pull On Chelsea Steel Toe Cap Shoes, Comfortable And Water Resistant Work Boots For Men With Midsole Design For Safety and Ankle Support",5019311965149,5060345836325.0,27.385,1160.3813559322,100
37,LOVE SCENTED WAX MELTS,OLEVS Watches for Men Stainless Steel Analog Quartz Waterproof Luminous Luxury Dress Date Diamond Business Casual Mens Wrist Watchï¼ˆGold/Blue/Black/White Dialï¼‰,5050565512352,,27.2816666666666,2236.20218579234,100
