RowID,is_exact_ean_strict,EAN_digits,EAN_OnPage_digits,EAN_digits_normalized,EAN_OnPage_digits_normalized,EAN_strict_valid,EAN_OnPage_strict_valid,Pack_Verdict,Adjusted_Profit,NetProfit,ROI,Qty_Ratio,Sup_Qty,Amz_Qty,title_match,sales,MLS,MLS_band,SupplierTitle,AmazonTitle,EAN,EAN_OnPage,ASIN,SupplierPrice_incVAT,SellingPrice_incVAT
35,False,5050796011778,,5050796011778,,True,False,SPLIT - verify allowed,24.965,24.965,2133.76068376068,0.25,4.0,1.0,0.21487603305785125,400,9,UNLIKELY,BRIGHT & HOMELY STAINLESS STEEL SCOURER 4 PIECES,"Pristar Remote Control Car Hand Gesture Controlled Car, 1:14 RC Stunt Auto 360Â° Rotation 3 Control Methods 2.4 GHz Drift Glove Controlled Cars Gift Toy for Kids Boy Girls Age 5 6 7 8 9 10 11 12",5050796011778.0,,B0C7FJY9SL,0.744,42.99
36,False,5019923202892,,5019923202892,,True,False,1:1 Match,24.70625,24.70625,2041.8388429752,1.0,1.0,1.0,0.1958762886597938,50,8,UNLIKELY,SECURPAK POZI COUNTERSUNK SCREWS ZP 5X60MM,"Premium Baby Toys for 6-18 Months, 8 in 1 Montessori Toys Set, Educational Learning Toys for Toddlers 1-3 Years Old Trendy Babies Gifts for Boys & Girls",5019923202892.0,,B0CQP7TT72,0.792,39.99
37,False,5055441463407,609613846212,5055441463407,609613846212,True,True,1:1 Match,19.2516666666666,19.2516666666666,2026.49122807017,1.0,1.0,1.0,0.2,200,8,UNLIKELY,DEKTON MASONRY DRILL BIT 5MM X 85MM,Mydome Light Switch Timer â€“ Police Approved Retro Fit Timer Switch - A No Wiring Home Security Lighting & Burglar Deterrent,5055441463407.0,609613846212.0,B00YA95TZI,0.48,32.99
38,False,11179859771,,011179859771,,True,False,1:1 Match,24.69625,24.69625,2024.28278688524,1.0,1.0,1.0,0.22580645161290322,50,9,UNLIKELY,HAPPY 6TH BIRTHDAY BANNER BLUE 9FT,"Premium Baby Toys for 6-18 Months, 8 in 1 Montessori Toys Set, Educational Learning Toys for Toddlers 1-3 Years Old Trendy Babies Gifts for Boys & Girls",11179859771.0,,B0CQP7TT72,0.804,39.99
39,False,5052578022309,,5052578022309,,True,False,1:1 Match,25.1916666666666,25.1916666666666,1999.33862433862,1.0,1.0,1.0,0.18064516129032257,100,7,UNLIKELY,BETTINA SPONGE CELLULOSE 3 SCOURER,OLEVS Mens Watches Designer Calendar Dress Metal Stainless Steel Quartz Analog Waterproof Luminous Wrist Watch Gent Large,5052578022309.0,,B0BPLGMW1B,0.852,42.77
40,False,26102289587,4820184122314,026102289587,4820184122314,True,True,1:1 Match,36.5566666666666,36.5566666666666,1986.77536231884,1.0,1.0,1.0,0.10891089108910891,200,4,UNLIKELY,DIWALI SOUP PLATE 20CM,"UGEARS V8 Engine 3D Wooden Puzzles for Adults - Wooden Model Kits for Adults to Build DIY Craft, for Engineers, 3D Puzzle Model Engine Kit, 3D Puzzles Adult Hobby Kit, Brain Teaser",26102289587.0,4820184122314.0,B0D9W1S3Y5,1.548,60.8
41,False,5055706641137,717710483480,5055706641137,717710483480,True,True,1:1 Match,80.58,80.58,1951.08958837772,1.0,1.0,1.0,0.20717131474103587,50,8,UNLIKELY,DLUX PRO KLEEN 2 IN 1 MICROFIBRE FLAT MOP WITH HEAD CHENILLE,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",5055706641137.0,717710483480.0,B0FGHZB8FM,4.296,129.0
42,False,6260573000843,5038061143195,6260573000843,5038061143195,True,True,1:1 Match,27.0999999999999,27.0999999999999,1935.71428571428,1.0,1.0,1.0,0.16740088105726872,400,22,UNLIKELY,OPAL SQUARE SOUP PLATE WHITE,"George Foreman Immersa Medium Electric Grill [Removable Control Panel allows grill machine to be fully washable & dishwasher safe, Energy saving, Healthy, Toastie, Panini, Hot plate, BBQ] Black 28310",6260573000843.0,5038061143195.0,B0BGK57HPC,1.02,49.5
43,False,5012128554223,,5012128554223,,True,False,1:1 Match,24.63625,24.63625,1924.70703125,1.0,1.0,1.0,0.10112359550561797,50,4,UNLIKELY,GIFTMAKER AIR DRY CLAY ELF,"Premium Baby Toys for 6-18 Months, 8 in 1 Montessori Toys Set, Educational Learning Toys for Toddlers 1-3 Years Old Trendy Babies Gifts for Boys & Girls",5012128554223.0,,B0CQP7TT72,0.876,39.99
44,False,5013174024821,705736243089,5013174024821,705736243089,True,True,BUNDLE (487x),-570.5343333333334,30.1616666666666,1908.96624472573,487.0,1.0,487.0,0.12290502793296089,100,5,UNLIKELY,ABBEY HAND SPRAY 750ML,"Mould King V8 Engine Building Blocks Sets, 10171 MOC Scale Model Kit with Battery and Motor, Collectible Set for Adults, Construction Toys for Teens(487 Pcs)",5013174024821.0,705736243089.0,B0DL47ZJR2,1.236,50.99
