Supplier_Title,Amazon_Title,ASIN,EAN,Match_Type,Tier,Confidence_Score,EAN_Exact_Match,Sales,Net_Profit,ROI,Supplier_Price,Amazon_Price,Bucket,Inclusion_Reason,Confidence,Validation_Required,Priority,Similarity,Unit_Qty_Flag,Unit_Qty_Note,Category,Supplier_URL,Amazon_URL,FBA_Sellers,Dashboard_Flags
BLUE CANYON VECTOR SHOWER SPRAY,Blue Canyon Vector Double Tap Shower Spray| Bathroom Accessory| Premium Shower Attachment for Bath taps| Push-on-Fitting| Suitable for Round & Oval Taps| Shower Head for Bathroom| ~1.5 Meters| (White),B008F6946C,5060187175750,EAN,T1,60,TRUE,500.0,0.2,4.802259887,4.296,9.85,A,Proven Demand: positive profit + confirmed sales,HIGH,No,MEDIUM,0.27,MATCH,,Showerheads & Hoses,https://www.efghousewares.co.uk/blue-canyon-vector-shower-spray,https://www.amazon.co.uk/dp/B008F6946C,Available (see Keepa data),
ROYLE HOME SPRINGFORM CAKE TIN,"Royle Kids 2 Mini Springform Cake Tin Kids Round 5Inch Non Stick Springform Baking Tin 12cm,Black",B01APK7CDC,5015302472535,EAN,T1,80,TRUE,100.0,0.19,7.725207164,2.3328,7.88,A,Proven Demand: positive profit + confirmed sales,HIGH,No,MEDIUM,0.43,MATCH,,Other,https://www.efghousewares.co.uk/royle-home-springform-cake-tin-26-9,https://www.amazon.co.uk/dp/B01APK7CDC,,
PYREX MEASURE & MIX BEAKER 250ML (PM),"Pyrex 250 ml Kitchen Lab Measure and Mix Beaker, Multicolour",B007ZQ45XA,3426470024396,Title,T2,45,FALSE,100.0,0.13,3.354978355,3.96,9.02,A,Proven Demand: positive profit + confirmed sales,MEDIUM,Yes,MEDIUM,0.58,MATCH,,Glass Tableware,https://www.efghousewares.co.uk/pyrex-measure-mix-beaker-250ml-pm-,https://www.amazon.co.uk/dp/B007ZQ45XA,,AMAZON_EAN_MISSING
MEMORIAL WATERPROOF GRAVESIDE LANTERN WITH ROBIN SOMEONE SPECIAL,Waterproof Robin Memorial Graveside Lantern with LED Candle (Someone Special),B096KRFC4W,5055361761119,EAN,T1,75,TRUE,50.0,0.08,1.235541535,6.948,13.99,A,Proven Demand: positive profit + confirmed sales,HIGH,No,MEDIUM,0.72,MATCH,,Memorial,https://www.efghousewares.co.uk/memorial-waterproof-graveside-lantern-with-robin-someone-special-110901,https://www.amazon.co.uk/dp/B096KRFC4W,Available (see Keepa data),BRAND_MISMATCH
CHEF AID STRAINER DIAMETER 18CM,"Chef Aid 18cm Long Handled Metal Sieve, Kitchen Essential Tool and Ideal for Straining, draining, Washing and Wide Range of Foods, with a fine mesh for Ease of use",B000TAU3QW,5012904004188,EAN,T1,60,TRUE,200.0,0.08,3.840245776,1.944,6.4,A,Proven Demand: positive profit + confirmed sales,HIGH,No,MEDIUM,0.22,MATCH,,Kitchen Gadgets   Utensils,https://www.efghousewares.co.uk/chef-aid-strainer-diameter-18cm,https://www.amazon.co.uk/dp/B000TAU3QW,Available (see Keepa data),
TREAT AND EASE EYE MIST SPRAY,Eye Mist Eyelid Spray for Refreshing Soothing Relief Dry Tired Irritated Itch Sore Eyes 15ml,B093H2DHHF,5056175904327,EAN,T1,40,TRUE,100.0,0.06,4.436450839,1.008,3.95,A,Proven Demand: positive profit + confirmed sales,HIGH,No,MEDIUM,0.23,MATCH,,First Aid Pharmacy Personal,https://www.efghousewares.co.uk/treat-and-ease-eye-mist-spray-106977,https://www.amazon.co.uk/dp/B093H2DHHF,Available (see Keepa data),BRAND_MISMATCH
GLASS WHISKEY DECANTER,alpina Whiskey Decanter and Caraf,B07JD22MJ2,8711252100531,EAN,T1,40,TRUE,200.0,0.02,0.730411687,2.352,8.29,A,Proven Demand: positive profit + confirmed sales,HIGH,No,MEDIUM,0.69,MATCH,,Glass Tableware,https://www.efghousewares.co.uk/glass-whiskey-decanter,https://www.amazon.co.uk/dp/B07JD22MJ2,,BRAND_MISMATCH
CHURCHILL ALGRAVE BLUE MINT COUPE BOWL 20CM,Algarve Blue Coupe Bowl 20cm - Pack of 6,B0F19F7T54,5011109362901,EAN,T1,75,TRUE,Unknown,17.74,997.7961433,3.696,66,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,MEDIUM,0.65,MISMATCH_CHECK,"Recalculated: 6x supplier cost. Original: 36.22, True: 17.74",Crockery,https://www.efghousewares.co.uk/algrave-blue-mint-coupe-bowl-20cm-114854,https://www.amazon.co.uk/dp/B0F19F7T54,,BRAND_MISMATCH
CASA & CASA CLASSICO STAINLESS STEEL SINK ORGANISER WITH TRAY,"Casa & Casa Classico Stainless Steel Kitchen Sink Organiser with Tray, Caddy Sponge Holder, Tidy Utensil Holder, Drains Water for Kitchen & Bathroom, Fingerprint-Proof Coating, Sink Area Organiser",B09ZLK8PYB,5056295705750,EAN,T1,80,TRUE,Unknown,13.91,241.4930556,6.252,33.36,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,MEDIUM,0.47,MATCH,,Kitchen Accessories,https://www.efghousewares.co.uk/casa-casa-classico-stainless-steel-sink-organiser-with-tray-121307,https://www.amazon.co.uk/dp/B09ZLK8PYB,,
LITTLE TREES CAR FRESHENER SUPERNOVA,Little Trees® MTR0092 Supernova,B0DLX1WN8H,7612720200030,EAN,T1,65,TRUE,Unknown,11.72,881.4536341,0.936,22,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,MEDIUM,0.72,MATCH,,Air Fresheners,https://www.efghousewares.co.uk/little-trees-car-freshener-supernova-116778,https://www.amazon.co.uk/dp/B0DLX1WN8H,,EXTREME_PRICE_RATIO
