RowID,SupplierTitle,AmazonTitle,EAN,EAN_OnPage,ASIN,NetProfit,Adjusted_Profit,ROI,sales,title_match,is_exact_ean_strict,Brand_Match,RSU,Pack_Verdict,Category,SubCategory,Filter_Reason
38,SECURPAK POZI COUNTERSUNK SCREWS ZP 5X60MM,"Premium Baby Toys for 6-18 Months, 8 in 1 Montessori Toys Set, Educational Learning Toys for Toddlers 1-3 Years Old Trendy Babies Gifts for Boys & Girls",5019923202892,nan,B0CQP7TT72,24.70625,24.70625,0.20418388429752,50,0.1958762886597938,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
39,DEKTON MASONRY DRILL BIT 5MM X 85MM,Mydome Light Switch Timer â€“ Police Approved Retro Fit Timer Switch - A No Wiring Home Security Lighting & Burglar Deterrent,5055441463407,609613846212,B00YA95TZI,19.2516666666666,19.2516666666666,0.202649122807017,200,0.2,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
40,HAPPY 6TH BIRTHDAY BANNER BLUE 9FT,"Premium Baby Toys for 6-18 Months, 8 in 1 Montessori Toys Set, Educational Learning Toys for Toddlers 1-3 Years Old Trendy Babies Gifts for Boys & Girls",11179859771,nan,B0CQP7TT72,24.69625,24.69625,0.202428278688524,50,0.22580645161290322,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
41,BETTINA SPONGE CELLULOSE 3 SCOURER,OLEVS Mens Watches Designer Calendar Dress Metal Stainless Steel Quartz Analog Waterproof Luminous Wrist Watch Gent Large,5052578022309,nan,B0BPLGMW1B,25.1916666666666,25.1916666666666,0.19993386243386202,100,0.18064516129032257,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
42,DIWALI SOUP PLATE 20CM,"UGEARS V8 Engine 3D Wooden Puzzles for Adults - Wooden Model Kits for Adults to Build DIY Craft, for Engineers, 3D Puzzle Model Engine Kit, 3D Puzzles Adult Hobby Kit, Brain Teaser",26102289587,4820184122314,B0D9W1S3Y5,36.5566666666666,36.5566666666666,0.198677536231884,200,0.10891089108910891,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
43,DLUX PRO KLEEN 2 IN 1 MICROFIBRE FLAT MOP WITH HEAD CHENILLE,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",5055706641137,717710483480,B0FGHZB8FM,80.58,80.58,0.195108958837772,50,0.20717131474103587,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
44,OPAL SQUARE SOUP PLATE WHITE,"George Foreman Immersa Medium Electric Grill [Removable Control Panel allows grill machine to be fully washable & dishwasher safe, Energy saving, Healthy, Toastie, Panini, Hot plate, BBQ] Black 28310",6260573000843,5038061143195,B0BGK57HPC,27.0999999999999,27.0999999999999,0.193571428571428,400,0.16740088105726872,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
45,GIFTMAKER AIR DRY CLAY ELF,"Premium Baby Toys for 6-18 Months, 8 in 1 Montessori Toys Set, Educational Learning Toys for Toddlers 1-3 Years Old Trendy Babies Gifts for Boys & Girls",5012128554223,nan,B0CQP7TT72,24.63625,24.63625,0.192470703125,50,0.10112359550561797,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
46,ABBEY HAND SPRAY 750ML,"Mould King V8 Engine Building Blocks Sets, 10171 MOC Scale Model Kit with Battery and Motor, Collectible Set for Adults, Construction Toys for Teens(487 Pcs)",5013174024821,705736243089,B0DL47ZJR2,30.1616666666666,30.1616666666666,0.190896624472573,100,0.12290502793296089,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
47,BETTINA SCOURER 6 MIXED SCOURERS,OLEVS Men Watch Leather Strap Classic Dress Large Face Analog Quartz Date Luminous Waterproof Gents Wrist Watch,5052579034968,nan,B07YWB6QGR,23.1983333333333,23.1983333333333,0.19015027322404301,50,0.1958041958041958,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
48,WET FLOOR SIGNS ABBEY,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",5013174012392,717710483480,B0FGHZB8FM,80.46,80.46,0.18931764705882298,50,0.1320754716981132,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
49,FAIRY WASHING UP LIQUID MAX POWER ORIGINAL 440ML PK8,"SIEMENS EQ6 plus S300, Fully Automatic Bean to Cup Espresso Coffee Machine with Cappuccinatore milk system, 11 beverages, Ceramic Grinder, Large Touchscreen Display, TE653M11GB, Titanium",8006540937594,4242003943359,B0BXLRLC9T,241.011666666666,241.011666666666,0.18741187143597698,200,0.15966386554621848,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
